
0,0,0,0,0,0,0,0,0,241,58,0,0,0,0,0,0,39,161,55,0,0,0,0,0,3,141,178,115,0,0,0,0,1,211,155,243,2,0,0,0,0,2,165,172,27,76,0,0,0,0,40,175,11,236,45,0,0,0,0,49,10,230,152,epithelium
0,0,0,0,0,0,0,0,0,129,11,0,0,0,0,0,0,39,185,13,0,0,0,0,0,4,173,87,205,0,0,0,0,0,195,74,68,100,0,0,0,0,1,90,246,107,60,0,0,0,0,19,183,246,51,42,0,0,0,0,45,0,73,114,epithelium
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,127,77,0,0,0,0,0,9,100,130,230,0,0,0,0,0,7,150,179,70,0,0,0,0,0,1,29,208,34,0,0,0,1,7,85,6,123,0,0,0,0,1,10,0,19,64,epithelium
0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,238,125,0,0,0,0,0,3,212,183,195,0,0,0,0,0,163,22,117,225,0,0,0,0,1,219,132,234,67,0,0,0,2,52,54,176,81,57,0,0,0,0,28,3,149,195,stroma
6,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,3,7,9,0,0,0,0,0,0,27,154,141,0,0,0,0,0,154,191,55,129,0,0,0,0,2,57,187,239,251,0,0,0,0,25,26,75,75,64,0,0,0,0,26,4,129,186,epithelium
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,221,211,0,0,0,0,0,1,103,81,194,0,0,0,0,2,43,124,48,241,0,0,0,0,1,144,112,182,178,0,0,0,0,5,113,21,133,10,0,0,0,0,0,0,75,101,epithelium
0,0,0,0,0,0,0,16,0,189,124,0,0,0,0,0,0,74,113,157,0,0,0,0,0,2,70,1,120,0,0,0,0,1,67,39,119,120,0,0,0,0,1,150,55,204,60,0,0,0,1,74,153,62,76,152,0,0,0,1,146,162,36,159,epithelium
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,25,0,0,0,0,0,142,183,242,217,0,0,0,0,2,80,179,148,142,0,0,0,0,27,93,146,211,7,0,0,0,2,54,62,90,186,epithelium
0,0,0,0,0,0,0,0,0,115,52,0,0,0,0,0,0,102,73,65,0,0,0,0,0,7,136,134,250,0,0,0,0,0,223,236,27,31,0,0,0,0,0,65,250,52,2,0,0,0,0,6,52,34,16,0,0,0,0,0,2,0,0,0,epithelium
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,41,0,0,0,0,0,0,62,197,19,0,0,0,0,0,83,222,179,143,0,0,0,0,1,60,254,102,40,0,0,0,2,36,160,82,68,2,0,0,0,0,0,0,75,104,stroma
0,0,0,0,0,0,0,0,0,159,25,0,0,0,0,0,0,10,50,207,0,0,0,0,0,0,239,222,89,0,0,0,0,1,48,206,212,62,0,0,0,0,2,130,139,239,117,0,0,0,1,47,235,34,114,119,0,0,0,0,180,62,148,192,epithelium
